,Unnamed: 0,Restaurant_Name,Restaurant_rated,Review_Written_By,User_Rated_Restaurant,Written_Review,Sentiment_Rating
0,0,Toit,4.7,Brijmohan Patil,4.0,-,1
1,1,Toit,4.7,Jasleen Rajpal,5.0,"Best food ever! And the packaging was a solid 10/10
Loved it!",1
2,2,Toit,4.7,Rukmini Das,4.0,"crumb could be a litter lesser n fish more,nonetheless thank u for the accompaniment and cookie",1
3,3,Toit,4.7,Ritu Upadhyay,1.0,-,0
4,4,Toit,4.7,Sambhavi,5.0,-,1
5,5,Toit,4.7,Israa,1.0,-,0
6,6,Toit,4.7,Nitin Sheth,5.0,"Looks good, delivery boy spoiled it",1
7,7,Toit,4.7,Manish Mahboobani,1.0,Pizza was not delivered.,0
8,8,Toit,4.7,Anubhav Dimri,4.0,It is a great place to spend time having a few beers. It gets very crowded on weekends but still the service is maintained and the staff pay attention to the guests & their requirements. Their own brewed beers are good and starters were also tasty.,1
9,9,Toit,4.7,Madhu Tiwari,1.0,-,0
10,10,Toit,4.7,Shashank Singhal,5.0,"Toit is addictive. This place, people, service, food and beer will urge you to come back again and again. One of the best and smoothest service experiences I've had till date. Special mention to the coolest guy ""Anna"" behind the bars. Never disappoints.",1
11,11,Toit,4.7,Ashish Mehrotra,4.0,Beer is good and place is pet friendly. But food is not worth penny in terms of taste is average.. Go and enjoy Beer 🍺 and chit chat with friends.,1
13,13,Toit,4.7,Alisha Shaikh,4.0,-,1
14,14,Toit,4.7,Shivam Chandak,4.0,-,1
15,15,Toit,4.7,Priyam,5.0,-,1
16,16,Toit,4.7,Vivek Debnath,5.0,-,1
17,17,Toit,4.7,Payal Singh,5.0,"Good ambience, great food and services. It's a go to place for us, as it has one of the best brunch options. You can plan this place with anyone, doesn't feel like specific to certain type of crowd.",1
18,18,Toit,4.7,Nitesh Jain,4.0,"Visited toit recently, great place to hangout with friends/family. Food was also great. Just dont get the apple pie here, rest was good",1
20,20,Toit,4.7,Satyam Nagwekar,5.0,"Had a good time at Toit during our weekend trip to Pune. In spite of being packed, one of the ushers on evening duty found a comfortable table for us to sit. The food and beer were enjoyable as well.",1
21,21,Toit,4.7,Hedonist,5.0,-,1
22,22,Toit,4.7,Anup Debnath,5.0,No Taste at all.,1
23,23,Toit,4.7,Aman Aher,1.0,"The order was delayed , thereby everything was really cold and hence my sandwich was soggy.",0
24,24,Toit,4.7,Sweni Tolia,5.0,-,1
25,25,Toit,4.7,Wyah Sharma,1.0,"Two things, food and service. Food was okay, nothing to write home about, can't understand how it's rated so high. The Margherita pizza was ok ok, have had much better elsewhere. Then we had the potato mango curry, absolute worst thing I've ever had. Also, we had a cold drink bottle with us which we had got while coming from the mall. The waiter actually abused us in front of everyone to not consume it as they have some rules. I don't think anyone with an iota is self respect should visit that. Oh and did I mention the service is way way too slow. On top of that, they had to stomach to slap 7.5 service charge. I pity myself for going through such an ordeal dining here.",0
26,26,Toit,4.7,Apurva,5.0,-,1
27,27,Toit,4.7,Amol,5.0,-,1
28,28,Toit,4.7,Saahil Amritkar,5.0,-,1
29,29,Toit,4.7,Kapil Aggarwal,5.0,"Decent crowd, good food, really good music and awesome beers. The pizzas and mac and cheese balls are yum. A great place for a Sunday brunch with friends.",1
30,30,Toit,4.7,Tripti,5.0,-,1
31,31,Toit,4.7,Poonam Pagay,5.0,-,1
33,33,Toit,4.7,Prachi Dhanuak,5.0,-,1
35,35,Toit,4.7,Janine Chatterjee,5.0,-,1
36,36,Toit,4.7,Manoj,1.0,cold pizza,0
